city,lat,lon,temp_max,temp,humidity,cloudiness,wind_speed,country,date
georgetown,5.4112,100.3354,299.79,298.79,92,40,1.34,MY,1635205751
vrede,-27.4257,29.1659,283.68,283.68,94,99,1.96,ZA,1635205902
khatanga,71.9667,102.5,257.97,257.97,96,100,2.96,RU,1635205902
methoni,36.8197,21.7049,288.83,287.07,67,80,4.44,GR,1635205902
sakakah,29.9697,40.2064,292.91,292.91,29,0,2.71,SA,1635205903
la asuncion,11.0333,-63.8628,299.59,299.59,83,99,7.34,VE,1635205903
chitral,35.8462,71.7858,283.31,283.31,53,1,2.23,PK,1635205904
ushuaia,-54.8,-68.3,274.96,274.96,87,40,10.29,AR,1635205905
naze,28.3667,129.4833,294.66,294.66,60,0,5.04,JP,1635205905
kargopol,61.5071,38.9456,278.05,278.05,97,100,4.06,RU,1635205906
vanavara,60.34,102.2797,274.85,274.85,95,100,5.63,RU,1635205367
punta arenas,-53.15,-70.9167,278.21,278.21,70,40,4.12,CL,1635205907
dandong,40.1292,124.3947,285.21,285.21,76,84,2.92,CN,1635205907
mehamn,71.0357,27.8492,273.64,273.64,80,89,12.06,NO,1635205428
saskylakh,71.9167,114.0833,254.93,254.93,97,100,1.19,RU,1635205281
hermanus,-34.4187,19.2345,289.21,289.21,85,57,5.99,ZA,1635205908
ereymentau,51.6199,73.1033,282.23,282.23,45,100,6.86,KZ,1635205909
port elizabeth,-33.918,25.5701,290.31,290.31,88,0,5.66,ZA,1635205909
barrow,71.2906,-156.7887,270.16,270.16,80,90,6.17,US,1635205698
gat,31.61,34.7642,292.82,291.88,83,0,1.34,IL,1635205910
tautira,-17.7333,-149.15,300.16,300.16,77,90,1.59,PF,1635205910
batemans bay,-35.7167,150.1833,293.26,290.95,46,3,2.79,AU,1635205364
severo-kurilsk,50.6789,156.125,280.9,280.9,72,14,5.6,RU,1635205911
hasaki,35.7333,140.8333,288.37,288.08,92,100,15.64,JP,1635205641
codrington,-38.2667,141.9667,287.27,287.27,53,46,4.12,AU,1635205382
pisco,-13.7,-76.2167,290.18,290.18,77,0,8.23,PE,1635205834
presidencia roque saenz pena,-26.7852,-60.4388,294.55,294.55,38,0,3.41,AR,1635205330
katsuura,35.1333,140.3,289.92,289.17,91,100,15.25,JP,1635205912
upernavik,72.7868,-56.1549,263.73,263.73,60,13,2.75,GL,1635205913
cap malheureux,-19.9842,57.6142,295.63,295.63,72,6,2.68,MU,1635205914
kapit,2.0167,112.9333,297.82,297.82,96,73,0.58,MY,1635205914
lokosovo,61.1333,74.8167,273.69,273.69,95,100,4.42,RU,1635205899
masuguru,-11.3667,38.4167,297.02,297.02,85,28,2.2,TZ,1635205915
port blair,11.6667,92.75,300.01,300.01,81,94,2.79,IN,1635205814
port alfred,-33.5906,26.891,290.88,290.88,82,29,6.58,ZA,1635205691
cape town,-33.9258,18.4232,290.42,289.65,64,0,1.34,ZA,1635205681
bandarbeyla,9.4942,50.8122,297.55,297.55,83,52,1.85,SO,1635205916
salima,-13.7804,34.4587,298.16,298.16,54,12,1.02,MW,1635205917
san rafael del sur,11.8485,-86.4384,304.69,304.69,88,27,1.55,NI,1635205917
rikitea,-23.1203,-134.9692,297.34,297.34,71,78,8.98,PF,1635205918
hobart,-42.8794,147.3294,287.6,286.1,60,75,3.6,AU,1635205721
garden city,42.3256,-83.331,283.12,281.9,90,90,0.89,US,1635205919
